concept,symbol
Gene_648,BMI1
Gene_649,BMP1
Gene_650,BMP2
Gene_651,BMP3
Gene_652,BMP4
Gene_653,BMP5
Gene_654,BMP6
Gene_655,BMP7
Gene_656,BMP8B
Gene_657,BMPR1A
Gene_658,BMPR1B
Gene_659,BMPR2
Gene_660,BMX
Gene_661,POLR3D
Gene_662,BNIP1
Gene_663,BNIP2
Gene_664,BNIP3
Gene_665,BNIP3L
Gene_666,BOK
Gene_667,DST
Gene_668,FOXL2
Gene_669,BPGM
Gene_670,BPHL
Gene_671,BPI
Gene_672,BRCA1
Gene_673,BRAF
Gene_675,BRCA2
Gene_676,BRDT
Gene_677,ZFP36L1
Gene_678,ZFP36L2
Gene_680,BRS3
Gene_682,BSG
Gene_683,BST1
Gene_684,BST2
Gene_685,BTC
Gene_686,BTD
Gene_687,KLF9
Gene_688,KLF5
Gene_689,BTF3
Gene_694,BTG1
Gene_695,BTK
Gene_696,BTN1A1
Gene_699,BUB1
Gene_701,BUB1B
Gene_705,BYSL
Gene_706,TSPO
Gene_708,C1QBP
Gene_710,SERPING1
Gene_712,C1QA
Gene_713,C1QB
Gene_714,C1QC
Gene_715,C1R
Gene_716,C1S
Gene_717,C2
Gene_718,C3
Gene_719,C3AR1
Gene_720,C4A
Gene_721,C4B
Gene_722,C4BPA
Gene_725,C4BPB
Gene_726,CAPN5
Gene_727,C5
Gene_728,C5AR1
Gene_729,C6
Gene_730,C7
Gene_731,C8A
Gene_732,C8B
Gene_733,C8G
Gene_734,OSGIN2
Gene_735,C9
Gene_738,VPS51
Gene_740,MRPL49
Gene_741,ZNHIT2
Gene_744,MPPED2
Gene_745,MYRF
Gene_746,TMEM258
Gene_747,DAGLA
Gene_752,FMNL1
Gene_753,LDLRAD4
Gene_754,PTTG1IP
Gene_755,CFAP410
Gene_757,TMEM50B
Gene_758,MPPED1
Gene_759,CA1
Gene_760,CA2
Gene_761,CA3
Gene_762,CA4
Gene_763,CA5A
Gene_765,CA6
Gene_766,CA7
Gene_767,CA8
Gene_768,CA9
Gene_770,CA11
Gene_771,CA12
Gene_773,CACNA1A
Gene_774,CACNA1B
Gene_775,CACNA1C
Gene_776,CACNA1D
Gene_777,CACNA1E
Gene_778,CACNA1F
Gene_779,CACNA1S
Gene_780,DDR1
Gene_781,CACNA2D1
Gene_782,CACNB1
Gene_783,CACNB2
Gene_784,CACNB3
Gene_785,CACNB4
Gene_786,CACNG1
Gene_788,SLC25A20
Gene_790,CAD
Gene_793,CALB1
Gene_794,CALB2
Gene_795,S100G
Gene_796,CALCA
Gene_797,CALCB
Gene_799,CALCR
Gene_800,CALD1
Gene_801,CALM1
Gene_805,CALM2
Gene_808,CALM3
Gene_810,CALML3
Gene_811,CALR
Gene_813,CALU
Gene_814,CAMK4
Gene_815,CAMK2A
Gene_816,CAMK2B
Gene_817,CAMK2D
Gene_818,CAMK2G
Gene_819,CAMLG
Gene_820,CAMP
Gene_821,CANX
Gene_822,CAPG
Gene_823,CAPN1
Gene_824,CAPN2
Gene_825,CAPN3
Gene_826,CAPNS1
Gene_827,CAPN6
Gene_828,CAPS
Gene_829,CAPZA1
Gene_830,CAPZA2
Gene_831,CAST
Gene_832,CAPZB
Gene_833,CARS1
Gene_834,CASP1
Gene_835,CASP2
Gene_836,CASP3
Gene_837,CASP4
Gene_838,CASP5
Gene_839,CASP6
Gene_840,CASP7
Gene_841,CASP8
Gene_842,CASP9
Gene_843,CASP10
Gene_844,CASQ1
Gene_845,CASQ2
Gene_846,CASR
Gene_847,CAT
Gene_857,CAV1
Gene_858,CAV2
Gene_859,CAV3
Gene_860,RUNX2
Gene_861,RUNX1
Gene_862,RUNX1T1
Gene_863,CBFA2T3
Gene_864,RUNX3
Gene_865,CBFB
Gene_866,SERPINA6
Gene_867,CBL
Gene_868,CBLB
Gene_869,CBLN1
Gene_871,SERPINH1
Gene_873,CBR1
Gene_874,CBR3
Gene_875,CBS
Gene_881,CCIN
Gene_883,KYAT1
Gene_885,CCK
Gene_886,CCKAR
Gene_887,CCKBR
Gene_889,KRIT1
Gene_890,CCNA2
Gene_891,CCNB1
Gene_892,CCNC
Gene_894,CCND2
Gene_896,CCND3
Gene_898,CCNE1
Gene_899,CCNF
Gene_900,CCNG1
Gene_901,CCNG2
Gene_902,CCNH
Gene_904,CCNT1
Gene_905,CCNT2
Gene_908,CCT6A
Gene_909,CD1A
Gene_910,CD1B
Gene_910,CD1B
Gene_911,CD1C
Gene_912,CD1D
Gene_913,CD1E
Gene_914,CD2
Gene_915,CD3D
Gene_916,CD3E
Gene_917,CD3G
Gene_919,CD247
Gene_920,CD4
Gene_921,CD5
Gene_922,CD5L
Gene_923,CD6
Gene_924,CD7
Gene_925,CD8A
Gene_926,CD8B
Gene_927,CD8B2
Gene_928,CD9
Gene_929,CD14
Gene_930,CD19
Gene_931,MS4A1
Gene_932,MS4A3
Gene_933,CD22
Gene_939,CD27
Gene_940,CD28
Gene_941,CD80
Gene_942,CD86
Gene_943,TNFRSF8
Gene_944,TNFSF8
Gene_945,CD33
Gene_946,SIGLEC6
Gene_947,CD34
Gene_948,CD36
Gene_949,SCARB1
Gene_950,SCARB2
Gene_951,CD37
Gene_952,CD38
Gene_953,ENTPD1
Gene_954,ENTPD2
Gene_955,ENTPD6
Gene_956,ENTPD3
Gene_957,ENTPD5
Gene_958,CD40
Gene_959,CD40LG
Gene_960,CD44
Gene_961,CD47
Gene_962,CD48
Gene_963,CD53
Gene_965,CD58
Gene_966,CD59
Gene_967,CD63
Gene_968,CD68
Gene_969,CD69
Gene_970,CD70
Gene_971,CD72
Gene_972,CD74
Gene_973,CD79A
Gene_974,CD79B
Gene_975,CD81
Gene_976,ADGRE5
Gene_977,CD151
Gene_978,CDA
Gene_983,CDK1
Gene_984,CDK11B
Gene_987,LRBA
Gene_988,CDC5L
Gene_989,SEPTIN7
Gene_990,CDC6
Gene_991,CDC20
Gene_993,CDC25A
Gene_994,CDC25B
Gene_995,CDC25C
Gene_996,CDC27
Gene_997,CDC34
Gene_998,CDC42
Gene_999,CDH1
Gene_1000,CDH2
Gene_1001,CDH3
Gene_1002,CDH4
Gene_1003,CDH5
Gene_1004,CDH6
Gene_1005,CDH7
Gene_1006,CDH8
Gene_1007,CDH9
Gene_1008,CDH10
Gene_1009,CDH11
Gene_1010,CDH12
Gene_1012,CDH13
Gene_1013,CDH15
Gene_1014,CDH16
Gene_1015,CDH17
Gene_1016,CDH18
Gene_1017,CDK2
Gene_1018,CDK3
Gene_1019,CDK4
Gene_1020,CDK5
Gene_1021,CDK6
Gene_1022,CDK7
Gene_1024,CDK8
Gene_1025,CDK9
Gene_1026,CDKN1A
Gene_1027,CDKN1B
Gene_1028,CDKN1C
Gene_1029,CDKN2A
Gene_1030,CDKN2B
Gene_1031,CDKN2C
Gene_1032,CDKN2D
Gene_1033,CDKN3
Gene_1036,CDO1
Gene_1039,CDR2
Gene_1040,CDS1
Gene_1041,CDSN
Gene_1043,CD52
Gene_1044,CDX1
Gene_1045,CDX2
Gene_1046,CDX4
Gene_1047,CLGN
Gene_1048,CEACAM5
Gene_1050,CEBPA
Gene_1051,CEBPB
Gene_1052,CEBPD
Gene_1053,CEBPE
Gene_1054,CEBPG
Gene_1056,CEL
Gene_1058,CENPA
Gene_1059,CENPB
Gene_1060,CENPC
Gene_1062,CENPE
Gene_1063,CENPF
Gene_1066,CES1
Gene_1068,CETN1
Gene_1069,CETN2
Gene_1070,CETN3
Gene_1071,CETP
Gene_1072,CFL1
Gene_1073,CFL2
Gene_1075,CTSC
Gene_1080,CFTR
Gene_1081,CGA
Gene_1082,CGB3
Gene_1084,CEACAM3
Gene_1087,CEACAM7
Gene_1088,CEACAM8
Gene_1089,CEACAM4
Gene_1101,CHAD
Gene_1102,RCBTB2
Gene_1103,CHAT
Gene_1104,RCC1
Gene_1105,CHD1
Gene_1106,CHD2
Gene_1107,CHD3
Gene_1108,CHD4
Gene_1109,AKR1C4
Gene_1111,CHEK1
Gene_1112,FOXN3
Gene_1113,CHGA
Gene_1114,CHGB
Gene_1116,CHI3L1
Gene_1117,CHI3L2
Gene_1118,CHIT1
Gene_1119,CHKA
Gene_1120,CHKB
Gene_1121,CHM
Gene_1122,CHML
Gene_1123,CHN1
Gene_1124,CHN2
Gene_1128,CHRM1
Gene_1129,CHRM2
Gene_1130,LYST
Gene_1131,CHRM3
Gene_1132,CHRM4
Gene_1133,CHRM5
Gene_1134,CHRNA1
Gene_1135,CHRNA2
Gene_1136,CHRNA3
Gene_1137,CHRNA4
Gene_1138,CHRNA5
Gene_1139,CHRNA7
Gene_1140,CHRNB1
Gene_1141,CHRNB2
Gene_1142,CHRNB3
Gene_1143,CHRNB4
Gene_1144,CHRND
Gene_1145,CHRNE
Gene_1146,CHRNG
Gene_1147,CHUK
Gene_1149,CIDEA
Gene_1152,CKB
Gene_1153,CIRBP
Gene_1154,CISH
Gene_1155,TBCB
Gene_1158,CKM
Gene_1159,CKMT1B
Gene_1160,CKMT2
Gene_1161,ERCC8
Gene_1163,CKS1B
Gene_1164,CKS2
Gene_1173,AP2M1
Gene_1174,AP1S1
Gene_1175,AP2S1
Gene_1176,AP3S1
Gene_1178,CLC
Gene_1179,CLCA1
Gene_1180,CLCN1
Gene_1181,CLCN2
Gene_1182,CLCN3
Gene_1183,CLCN4
Gene_1184,CLCN5
Gene_1185,CLCN6
Gene_1186,CLCN7
Gene_1187,CLCNKA
Gene_1188,CLCNKB
Gene_1191,CLU
Gene_1192,CLIC1
Gene_1193,CLIC2
Gene_1195,CLK1
Gene_1196,CLK2
Gene_1198,CLK3
Gene_1200,TPP1
Gene_1201,CLN3
Gene_1203,CLN5
Gene_1207,CLNS1A
Gene_1208,CLPS
Gene_1209,CLPTM1
Gene_1211,CLTA
Gene_1212,CLTB
Gene_1213,CLTC
Gene_1215,CMA1
Gene_1230,CCR1
Gene_1232,CCR3
Gene_1233,CCR4
Gene_1234,CCR5
Gene_1235,CCR6
Gene_1236,CCR7
Gene_1237,CCR8
Gene_1238,ACKR2
Gene_1240,CMKLR1
Gene_1241,LTB4R
Gene_1244,ABCC2
Gene_1258,CNGB1
Gene_1259,CNGA1
Gene_1260,CNGA2
Gene_1261,CNGA3
Gene_1262,CNGA4
Gene_1263,PLK3
Gene_1264,CNN1
Gene_1265,CNN2
Gene_1266,CNN3
Gene_1267,CNP
Gene_1268,CNR1
Gene_1269,CNR2
Gene_1270,CNTF
Gene_1271,CNTFR
Gene_1272,CNTN1
Gene_1277,COL1A1
Gene_1278,COL1A2
Gene_1280,COL2A1
Gene_1281,COL3A1
Gene_1282,COL4A1
Gene_1284,COL4A2
Gene_1285,COL4A3
Gene_1286,COL4A4
Gene_1287,COL4A5
Gene_1288,COL4A6
